time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1762770899508000000,11614.132,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762771099713000000,11814.337,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762771299945000000,12014.569,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762771500098000000,12214.72199975586,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762771700265000000,12414.889,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762771900435000000,12615.059,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762772100598000000,12815.22200024414,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762772300723000000,13015.347,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762772500886000000,13215.51000024414,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762772701018000000,13415.64199975586,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762772901122000000,13615.74599975586,wifi,True,False,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762772939171000000,13653.795,wifi,True,False,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762772941172000000,13655.796,wifi,True,False,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762772943172000000,13657.796,wifi,True,False,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762772945172000000,13659.796,wifi,True,False,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762772947172000000,13661.796,wifi,True,False,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762772949173000000,13663.797,cellular,True,,,True,,,,,,5g,--
1762772951178000000,13665.80199975586,cellular,True,True,,True,,,,,,5g,--
1762772953182000000,13667.80600024414,cellular,True,True,,True,,,,,,5g,--
1762772955183000000,13669.807,cellular,True,True,,True,,,,,,5g,--
1762772957185000000,13671.809,cellular,True,True,,True,,,,,,5g,--
1762772959188000000,13673.812,cellular,True,True,,True,,,,,,5g,--
1762773101374000000,13815.99800024414,cellular,True,True,,True,,,,,,5g,--
1762773301585000000,14016.209,cellular,True,True,,True,,,,,,5g,--
1762773501832000000,14216.456,cellular,True,True,,True,,,,,,5g,--
1762773702008000000,14416.632,cellular,True,True,,True,,,,,,5g,--
1762773902296000000,14616.92,cellular,True,True,,True,,,,,,5g,--
1762774102495000000,14817.119,cellular,True,True,,True,,,,,,5g,--
1762774216608000000,14931.232,cellular,True,True,,True,,,,,,5g,--
1762774218609000000,14933.233,cellular,True,True,,True,,,,,,5g,--
1762774220614000000,14935.23800024414,cellular,True,True,,True,,,,,,5g,--
1762774222619000000,14937.243,cellular,True,True,,True,,,,,,5g,--
1762774224620000000,14939.244,cellular,True,True,,True,,,,,,5g,--
1762774226625000000,14941.249,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762774228627000000,14943.251,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762774230627000000,14945.251,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762774232627000000,14947.251,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762774234627000000,14949.251,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762774236627000000,14951.251,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762774302700000000,15017.324,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762774502934000000,15217.55800024414,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762774703089000000,15417.713,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762774903226000000,15617.84999975586,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762775103437000000,15818.061,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762775303592000000,16018.216,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762775503738000000,16218.36199975586,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762775703897000000,16418.521,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762775904079000000,16618.703,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762776104251000000,16818.875,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762776304382000000,17019.006000244142,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762776504574000000,17219.19800024414,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762776704798000000,17419.42200024414,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762776905126000000,17619.75000024414,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762777105399000000,17820.023,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762777123430000000,17838.05400024414,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762777125435000000,17840.059,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762777127436000000,17842.06,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762777129441000000,17844.065,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762777131444000000,17846.068,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762777133450000000,17848.07399975586,cellular,True,True,,True,,,,,,5g,--
1762777135455000000,17850.079,cellular,True,True,,True,,,,,,5g,--
1762777137455000000,17852.079,cellular,True,True,,True,,,,,,5g,--
1762777139458000000,17854.08199975586,cellular,True,True,,True,,,,,,5g,--
1762777141463000000,17856.087,cellular,True,True,,True,,,,,,5g,--
1762777143468000000,17858.092,cellular,True,True,,True,,,,,,5g,--
1762777305633000000,18020.257,cellular,True,True,,True,,,,,,5g,--
1762777505782000000,18220.40600024414,cellular,True,True,,True,,,,,,5g,--
1762777706134000000,18420.75800024414,cellular,True,True,,True,,,,,,5g,--
1762777792280000000,18506.904,cellular,True,False,,True,,,,,,5g,--
1762777794280000000,18508.904,cellular,True,False,,True,,,,,,5g,--
1762777796284000000,18510.908,cellular,True,False,,True,,,,,,5g,--
1762777798289000000,18512.913,cellular,True,False,,True,,,,,,5g,--
1762777800294000000,18514.91800024414,cellular,True,False,,True,,,,,,5g,--
1762777802299000000,18516.923,none,False,False,,,,,,,,,
1762777804304000000,18518.928,none,False,False,,,,,,,,,
1762777806305000000,18520.929,none,False,False,,,,,,,,,
1762777808309000000,18522.933,none,False,False,,,,,,,,,
1762777810312000000,18524.936,cellular,True,,,True,,,,,,2g,--
1762777812317000000,18526.941,cellular,True,,,True,,,,,,2g,--
1762777814322000000,18528.94599975586,cellular,True,,,True,,,,,,2g,--
1762777816322000000,18530.94599975586,cellular,True,,,True,,,,,,2g,--
1762777818327000000,18532.951,cellular,True,,,True,,,,,,2g,--
1762777820332000000,18534.956,cellular,True,,,True,,,,,,2g,--
1762777906460000000,18621.084,cellular,True,False,,True,,,,,,2g,--
1762778106747000000,18821.371,cellular,True,False,,True,,,,,,2g,--
1762778306985000000,19021.609,cellular,True,True,,True,,,,,,2g,--
1762778507231000000,19221.855,cellular,True,False,,True,,,,,,2g,--
1762778707397000000,19422.021,cellular,True,False,,True,,,,,,2g,--
1762778907705000000,19622.329,cellular,True,False,,True,,,,,,2g,--
1762778959799000000,19674.423,cellular,True,False,,True,,,,,,2g,--
1762778961801000000,19676.425,cellular,True,False,,True,,,,,,2g,--
1762778963805000000,19678.429,cellular,True,False,,True,,,,,,2g,--
1762778965809000000,19680.433,cellular,True,False,,True,,,,,,2g,--
1762778967820000000,19682.444,cellular,True,False,,True,,,,,,2g,--
1762778969825000000,19684.449,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762778971830000000,19686.45400024414,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762778973831000000,19688.455,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762778975831000000,19690.455,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762778977836000000,19692.46,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762778979841000000,19694.465,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762779108027000000,19822.651,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762779308361000000,20022.985,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762779508626000000,20223.24999975586,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762779708811000000,20423.435,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762779909059000000,20623.683,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762780109334000000,20823.95800024414,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762780309659000000,21024.283,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762780509855000000,21224.479,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762780710052000000,21424.676,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762780910272000000,21624.896,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762781070471000000,21785.095,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762781072476000000,21787.1,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762781074481000000,21789.105,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762781076486000000,21791.11000024414,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762781078486000000,21793.11000024414,wifi,True,True,,False,CoffeeShop_WiFi,86:79:a9:ca:09:9c,,192.168.138.18,,,
1762781080491000000,21795.115,cellular,True,True,,True,,,,,,2g,--
1762781082496000000,21797.12,cellular,True,True,,True,,,,,,2g,--
1762781084501000000,21799.125,cellular,True,True,,True,,,,,,2g,--
1762781086506000000,21801.12999975586,cellular,True,True,,True,,,,,,2g,--
1762781088506000000,21803.12999975586,cellular,True,True,,True,,,,,,2g,--
1762781090512000000,21805.136,cellular,True,True,,True,,,,,,2g,--
1762781110543000000,21825.167,cellular,True,True,,True,,,,,,2g,--
1762781298841000000,22013.465,cellular,True,True,,True,,,,,,2g,--
1762781300841000000,22015.465,cellular,True,True,,True,,,,,,2g,--
1762781302841000000,22017.465,cellular,True,True,,True,,,,,,2g,--
1762781304841000000,22019.465,cellular,True,True,,True,,,,,,2g,--
1762781306842000000,22021.46599975586,cellular,True,True,,True,,,,,,2g,--
1762781308842000000,22023.46599975586,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762781310842000000,22025.46599975586,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762781312842000000,22027.46599975586,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762781314845000000,22029.469,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762781316845000000,22031.469,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762781318850000000,22033.47399975586,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762781511139000000,22225.763,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762781711347000000,22425.971,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762781911549000000,22626.173,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762782111741000000,22826.365,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762782311885000000,23026.509,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762782512102000000,23226.72600024414,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762782712233000000,23426.857,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762782912451000000,23627.075,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762783112620000000,23827.244,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762783312709000000,24027.333,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762783512895000000,24227.519,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762783713089000000,24427.713,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762783913356000000,24627.98,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762784113573000000,24828.197,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762784313789000000,25028.413,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762784513922000000,25228.54599975586,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762784714158000000,25428.78200024414,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762784914273000000,25628.897,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762785114532000000,25829.156,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762785314811000000,26029.435,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762785515004000000,26229.628,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762785715191000000,26429.815,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762785915432000000,26630.056,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762786115579000000,26830.203,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762786315741000000,27030.365,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762786515877000000,27230.501,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762786716093000000,27430.717,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762786916279000000,27630.903,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762787116412000000,27831.036,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
