time,seconds_elapsed,steps
1762765017874104600,5732.498104492188,1768
1762765020446983400,5735.070983398437,1772
1762765023019858200,5737.643858154297,1776
1762765025592730400,5740.21673046875,1781
1762765028165598500,5742.789598388672,1785
1762765030738463500,5745.362463378906,1789
1762765033311323600,5747.935323730469,1793
1762765035884180500,5750.508180419922,1797
1762765038457031400,5753.081031494141,1800
1762765041029882400,5755.653882324219,1804
1762765043602726700,5758.2267265625,1807
1762765046175570000,5760.799569824218,1811
1762765048748412200,5763.372412109375,1815
1762765051321259000,5765.945259033203,1815
1762765053894121700,5768.518121826172,1815
1762765059039928800,5773.663928710937,1815
1762765061612871200,5776.23687109375,1815
1762765249458625800,5964.082625732422,1815
1762765252033249300,5966.657249267578,1823
1762765254606616000,5969.230615966797,1828
1762765257179980800,5971.803980712891,1833
1762765259753340200,5974.377340087891,1837
1762765262326697500,5976.950697509766,1842
1762765264900050700,5979.52405078125,1847
1762765267475285000,5982.099284912109,1852
1762765270048629500,5984.672629394531,1856
1762765272623223800,5987.247223876953,1861
1762765275196553700,5989.820553710938,1866
1762765277770503700,5992.394503662109,1870
1762765280343815400,5994.967815429687,1876
1762765282917115400,5997.541115478516,1880
1762765285490405000,6000.114405029297,1885
1762765288063686400,6002.687686279297,1889
1762765290638843100,6005.262843017578,1894
1762765293212102000,6007.836101806641,1898
1762765295786593800,6010.41059375,1903
1762765298361065000,6012.985064941407,1908
1762765300934265300,6015.55826538086,1912
1762765303511223300,6018.135223388672,1917
1762765306085028600,6020.709028564454,1922
1762765308658202600,6023.2822026367185,1927
1762765311231371500,6025.855371582032,1932
1762765313804538000,6028.428538085937,1937
1762765316381471700,6031.005471679688,1942
1762765318954634200,6033.578634277344,1947
1762765321527791400,6036.151791259766,1951
1762765324100944600,6038.724944580078,1956
1762765326674094600,6041.298094482422,1961
1762765329247243000,6043.871242919922,1966
1762765331821641500,6046.445641357422,1971
1762765334394775300,6049.018775390625,1976
1762765336969156400,6051.59315625,1980
1762765339542900200,6054.166900146484,1985
1762765342116006000,6056.740005859375,1989
1762765344689100800,6059.313100830078,1993
1762765347263453400,6061.8874533691405,1993
1762765349836572200,6064.460572265625,1999
1762765352409722000,6067.033722167968,2002
1762765354982929700,6069.6069296875,2002
1762765357556188200,6072.180188232422,2002
1762765360129464600,6074.753464599609,2002
1762765362702737700,6077.3267375488285,2002
1762765365277262000,6079.90126196289,2002
1762765367850523400,6082.4745234375,2002
1762765370423789600,6085.047789550781,2002
1762765372997072600,6087.621072753906,2002
1762765375570379000,6090.19437890625,2002
1762765378143693800,6092.767693847656,2002
1762765380717006000,6095.341006103516,2002
1762765434761845800,6149.385845703125,2002
1762765437336136700,6151.96013671875,2010
1762765439909158100,6154.533158203125,2014
1762765442482164000,6157.1061640625,2018
1762765445055164000,6159.6791638183595,2023
1762765447631935200,6162.2559353027345,2025
1762765450207453700,6164.831453613281,2025
1762765452780460800,6167.404460693359,2025
1762765455355350000,6169.979350097657,2025
1762765457928350000,6172.552349853516,2036
1762765460501982700,6175.125982666015,2039
1762765463075024100,6177.699024169922,2045
1762765465648092000,6180.272091796875,2049
1762765468221799400,6182.845799316407,2053
1762765470794875100,6185.4188752441405,2057
1762765473367940400,6187.991940429688,2062
1762765475940990000,6190.564989990235,2066
1762765478514021400,6193.138021484375,2070
1762765481087032800,6195.711032714844,2074
1762765483660036600,6198.284036621094,2078
1762765486233035000,6200.857034912109,2081
1762765488806038000,6203.430038085938,2081
1762765491379040300,6206.0030402832035,2081
1762765493952038400,6208.5760383300785,2081
1762765496525026000,6211.1490261230465,2081
1762765499098001400,6213.722001464844,2081
1762765501670963700,6216.294963623047,2081
1762765504243914500,6218.867914550781,2081
1762765506816852000,6221.440852050781,2097
1762765509389778200,6224.013778076172,2101
1762765511962692400,6226.5866923828125,2103
1762765514535596800,6229.159596679688,2107
1762765517108491500,6231.732491455078,2109
1762765519681375000,6234.305375,2113
1762765522254247200,6236.878247070313,2115
1762765524827108900,6239.451108886718,2119
1762765527399957200,6242.023957275391,2119
1762765529972823000,6244.596822998047,2119
1762765532545751600,6247.169751464844,2119
1762765535118748200,6249.742748046875,2119
1762765537691810600,6252.315810546875,2119
1762765558277667300,6272.901667236328,2119
