time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1762766402000315600,7116.624315673828,61.288738331757486,0.978652022521104,117.71476393695846,41.90223651453542,13.698738179169595,61.18577194213867,14.245954534686952,7.73557439419455,12.475841330468372,0.6231248473781218
1762766412000347600,7126.62434765625,61.15577742643654,0.9897097199116156,89.03389926383758,41.902294728238125,13.565777273848653,66.47686767578125,14.245954572480438,7.996562392768841,12.4759283986806,0.8977778913313733
1762766422000386800,7136.62438671875,60.43499148171395,1.130257166771813,98.0459042733871,41.90233345191534,12.84499132912606,70.29266357421875,14.245954549716318,5.925603817019524,12.47602635143588,0.9078513681756848
1762766432000427800,7146.624427734375,61.83877667039633,0.976755063175244,53.88630660032718,41.90235716776937,14.248776517808436,71.61715698242188,14.245954590520364,5.480957580015561,12.47621747923588,1.4680246441276164
1762766442000473000,7156.624473144531,62.45330400392413,0.9435951804342212,59.17855100409013,41.90236356322926,14.86330385133624,71.62948608398438,14.245954580508457,5.161901773754637,12.476382682865449,1.2600549289823086
1762766452000517400,7166.624517333984,61.97829515300691,0.9721783635620864,56.71636887532803,41.90240075684264,14.38829500041902,73.6968994140625,14.24595459465657,6.095265134693656,12.476538277336193,1.3887327862451342
1762766462000564200,7176.624564208984,62.71961170900613,0.958581184188384,79.26368545882349,41.90242910845188,15.12961155641824,81.54071044921875,14.24595455536126,6.7584394133551156,12.476700224254868,0.9742359317505668
1762766472000610300,7186.624610351562,62.36318026762456,0.9086128689178864,49.88303885787336,41.90244437253549,14.773180115036666,84.75732421875,14.24595452890311,7.014994334846569,12.476865416728424,1.4333103421993707
1762766482000683500,7196.62468359375,62.05062246322632,0.9692212296489916,87.17316800331034,41.90245568578521,14.460622310638428,80.80496215820312,14.245954553280985,5.734319963166042,12.477010739509566,0.8746575051289442
1762766492000479500,7206.624479492188,63.60728579107672,0.94136792899606,64.77958235476632,41.90249866418239,16.01728563848883,80.80496215820312,14.245954546826662,7.0347044282975695,12.477166955756813,1.0233086865404326
1762766502000352000,7216.624352050781,61.98566855210811,0.9077731636456972,49.195630528051545,41.902549091739104,14.395668399520218,83.47854614257812,14.245954519251416,5.692733338060204,12.477333289425411,1.492784038669565
1762766512000297000,7226.624296875,62.43025690410286,0.9839849157487964,62.023582379733206,41.902564683334425,14.840256751514971,86.255126953125,14.24595459064808,4.19048924145904,12.477509062832125,1.2832550361569577
1762766522000280800,7236.624280761719,62.56504944805056,1.0052711755432282,60.81075369310095,41.90257996248295,14.975049295462668,89.391845703125,14.245954611462524,4.524713429962241,12.477670995996789,1.3085256248023904
1762766532000285700,7246.6242856445315,62.03143843822181,0.9002642451475289,71.95970719766648,41.90258068274983,14.441438285633922,89.391845703125,14.245954618961887,8.357266650386691,12.477761821334408,0.9434490160594616
1762766542000301000,7256.62430102539,62.17881666868925,1.044216465995312,67.76079713925914,41.90272034148008,14.58881651610136,354.25482177734375,14.24595465056434,5.62266722845731,12.477750660007793,1.247131599443674
1762766552000322000,7266.624322021485,62.585085136815906,1.14079105635002,76.75106423941935,41.902831260279086,14.995084984228017,354.25482177734375,14.245954609286937,4.151696348094325,12.477728605903872,1.201114840362827
1762766562000345600,7276.624345703125,63.32066037505865,1.1966158063328922,95.47106467947498,41.90292705020853,15.73066022247076,352.83392333984375,14.245954574426191,4.60801116591917,12.477714725680563,0.9149517955965448
1762766572000371000,7286.6243708496095,62.219803237356246,0.940325397310422,55.78081983799262,41.90303696761527,14.629803084768357,7.309783935546875,14.24595463336663,6.041821244198904,12.47774041829247,1.3589624374418665
1762766582000397300,7296.624397216797,61.70461539551616,1.190796396402257,106.25287766297792,41.90315004544416,14.114615242928268,9.840484619140623,14.245954586910692,3.667245568909408,12.477779004318377,0.9057658909035786
1762766592000423400,7306.624423339844,61.81797345448285,1.3112725431627543,72.44668869591409,41.90328666640365,14.227973301894965,11.2498779296875,14.245954574775004,3.868907621472814,12.477814451214268,1.4642894593786164
1762766602000332800,7316.624332763672,61.288195996545255,1.2129893653413035,81.376977456402,41.90338186160314,13.698195843957365,14.783416748046877,14.245954582641325,3.9314060535831694,12.477822003817003,1.1497564013042163
1762766612000213500,7326.624213623047,61.21200111601502,1.0106661403083517,68.72397961782087,41.90345394292803,13.622000963427126,21.4290771484375,14.24595453322871,6.148623696315126,12.477878336703002,1.1122798446297206
